1 12
2 13
3 6
4 9
5 17
6 9
7 14
8 5
9 10
10 10
11 9
12 17
13 7
14 14
15 7
16 14
17 12
18 0
19 7
20 13
21 0
22 2
23 5
24 10
25 18
26 13
27 7
28 0
29 17
30 13
31 13
32 7
33 14
34 13
35 7
36 13
37 11
38 13
39 1
40 14
41 9
42 10
43 11
44 7
45 4
46 13
47 8
48 6
49 4
50 8
51 10
52 5
53 9
54 8
55 7
56 13
57 0
58 4
59 16
60 16
61 14
62 7
63 0
64 4
65 6
66 0
67 4
68 8
69 5
70 18
71 0
72 1
73 9
74 8
75 9
76 4
77 0
78 3
79 2
80 13
81 13
82 8
83 15
84 8
85 8
86 7
87 4
88 0
89 8
90 13
91 17
92 4
93 4
94 12
95 13
96 0
97 19
98 4
99 9
100 7
101 14
102 13
103 9
104 13
105 17
106 13
107 14
108 9
109 5
110 13
111 8
112 5
113 4
114 0
115 8
