1 4
2 3
3 13
4 14
5 10
6 14
7 13
8 16
9 16
10 10
11 14
12 9
13 7
14 13
15 7
16 13
17 4
18 17
19 7
20 6
21 17
22 16
23 16
24 10
25 19
26 3
27 7
28 17
29 9
30 6
31 6
32 7
33 13
34 3
35 7
36 6
37 7
38 3
39 7
40 13
41 14
42 10
43 7
44 7
45 17
46 3
47 14
48 13
49 17
50 14
51 9
52 16
53 14
54 14
55 7
56 6
57 17
58 17
59 12
60 17
61 13
62 7
63 17
64 17
65 13
66 17
67 17
68 14
69 16
70 19
71 17
72 7
73 14
74 14
75 14
76 17
77 17
78 16
79 16
80 6
81 6
82 14
83 0
84 14
85 14
86 7
87 17
88 17
89 14
90 3
91 9
92 17
93 17
94 4
95 6
96 17
97 17
98 12
99 14
100 7
101 13
102 6
103 14
104 3
105 10
106 3
107 13
108 14
109 16
110 3
111 14
112 16
113 17
114 17
115 14
