1 1
2 1
3 1
4 10
5 1
6 1
7 8
8 1
9 10
10 8
11 10
12 10
13 10
14 10
15 8
16 10
17 10
18 10
19 10
20 8
21 8
22 10
23 10
24 10
25 10
26 8
27 10
28 10
29 9
30 8
31 2
32 2
33 10
34 10
35 10
36 10
37 10
38 10
39 10
40 10
41 10
42 10
43 10
44 10
45 10
46 10
47 10
48 10
49 8
50 17
51 8
52 11
53 11
54 8
55 10
56 10
57 8
58 8
59 11
60 14
61 14
62 14
63 14
64 14
65 11
66 11
67 2
68 11
69 11
70 11
71 2
72 2
73 2
74 16
75 2
76 2
77 2
78 9
79 2
80 2
81 2
82 16
83 2
84 2
85 16
86 11
87 16
88 2
89 16
90 16
91 2
92 2
93 16
94 14
95 14
96 14
97 16
98 16
99 16
100 14
101 16
102 14
103 19
104 11
105 11
