1 2
2 2
3 2
4 15
5 2
6 2
7 2
8 2
9 1
10 15
11 15
12 15
13 1
14 1
15 15
16 15
17 15
18 15
19 15
20 15
21 15
22 15
23 15
24 1
25 15
26 15
27 15
28 1
29 11
30 15
31 14
32 11
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 15
48 1
49 15
50 13
51 15
52 13
53 13
54 15
55 1
56 15
57 15
58 15
59 13
60 8
61 8
62 8
63 8
64 8
65 18
66 18
67 14
68 18
69 18
70 18
71 14
72 14
73 14
74 14
75 14
76 14
77 14
78 11
79 14
80 14
81 14
82 14
83 14
84 14
85 14
86 11
87 14
88 14
89 14
90 14
91 14
92 14
93 14
94 14
95 8
96 8
97 14
98 14
99 14
100 14
101 14
102 8
103 8
104 19
105 18
